Tension,Corriente
13.6176,-25.6401
1.25245,-24.3806
-1011.81,-353.078
-1008.28,-353.707
-998.561,-353.707
-988.846,-353.707
-985.313,-353.707
-980.013,-307.11
-938.502,-248.549
-952.633,-212.657
-945.567,-194.396
-931.436,-179.284
-927.02,-169.838
-919.954,-156.615
-912.005,-144.021
-907.589,-146.54
-882.858,-133.946
-881.092,-135.206
-880.209,-126.39
-859.894,-116.945
-847.529,-117.574
-858.128,-113.796
-837.814,-110.018
-825.448,-108.759
-834.281,-105.61
-811.317,-106.87
-800.718,-103.721
-807.784,-97.4244
-777.754,-89.8682
-772.455,-93.6463
-781.287,-92.387
-762.739,-90.4978
-738.892,-86.0901
-752.141,-87.9791
-736.243,-87.9791
-727.41,-86.7198
-714.162,-86.7198
-715.928,-85.4604
-704.446,-86.7198
-693.848,-84.201
-678.833,-82.9416
-689.431,-81.6822
-666.468,-77.9041
-652.336,-74.7556
-666.468,-65.3103
-639.971,-51.4573
-648.803,-49.5681
-623.189,-77.2745
-621.423,-76.0151
-601.109,-72.8666
-594.926,-66.5698
-586.094,-68.4588
-589.627,-66.5698
-564.013,-67.8292
-561.363,-66.5698
-572.845,-64.6807
-541.049,-68.4588
-537.516,-65.3103
-543.699,-62.7916
-512.786,-62.1619
-512.786,-65.3103
-515.436,-59.6432
-490.705,-55.2354
-475.69,-57.7541
-481.873,-58.3839
-469.508,-58.3839
-460.676,-60.2729
-463.325,-57.1244
-435.062,-52.087
-436.828,-58.3839
-437.712,-57.7541
-418.281,-56.4947
-413.864,-53.976
-399.733,-55.2354
-387.368,-53.3463
-381.185,-52.087
-372.353,-55.2354
-354.688,-51.4573
-369.703,-52.7166
-351.155,-51.4573
-314.06,-44.5307
-335.257,-49.5681
-327.308,-48.9385
-306.111,-48.9385
-313.177,-52.087
-309.644,-48.9385
-268.132,-44.5307
-282.264,-50.1979
-270.782,-45.7901
-261.066,-49.5681
-248.701,-45.7901
-252.234,-47.0494
-236.336,-46.4197
-239.869,-45.1604
-220.438,-44.5307
-213.372,-43.2713
-203.656,-43.901
-190.408,-45.1604
-186.875,-38.8635
-180.692,-43.2713
-166.561,-43.2713
-165.678,-43.901
-171.86,-43.901
-132.998,-43.2713
-136.531,-35.0854
-134.765,-37.6041
-110.034,-29.4182
-104.735,-25.0104
-107.384,-16.8245
-93.2528,-8.63846
-84.4205,-18.0838
-69.4058,-23.751
-76.4715,-26.2698
-50.858,-18.0838
-34.0767,-16.1948
-44.6753,-6.11973
-47.3251,7.73334
-15.5288,9.62246
-13.7623,20.9568
-17.2954,31.0318
7.43509,39.8474
12.7345,60.6272
13.6176,87.074
39.2313,91.4818
12.7345,117.929
33.0487,126.115
61.312,153.821
53.3628,161.377
63.0784,187.824
89.5752,216.79
89.5752,221.197
