Tension,Corriente
-1634.1,1299.72
1011.16,389.817
1010.28,389.188
1006.75,386.669
1009.4,388.558
1010.28,391.077
1010.28,391.706
1009.4,390.447
1008.51,391.077
1011.16,398.633
1011.16,393.595
1007.63,386.039
1008.51,387.298
1009.4,388.558
1009.4,385.409
1009.4,389.188
1009.4,391.706
1007.63,385.409
1009.4,387.298
1011.16,374.075
1006.75,387.298
1012.93,389.188
1011.16,394.225
1010.28,386.669
1010.28,388.558
1011.16,387.928
1010.28,389.188
1012.93,390.447
1010.28,391.706
1012.05,387.928
1009.4,383.52
1010.28,375.334
1012.05,391.077
1011.16,388.558
1008.51,388.558
1010.28,392.336
1034.13,432.636
1009.4,390.447
1009.4,390.447
1009.4,387.928
1009.4,390.447
1010.28,386.039
1010.28,387.298
1010.28,372.816
1012.05,387.298
1011.16,384.15
1012.93,388.558
1010.28,387.298
1010.28,388.558
1010.28,388.558
1010.28,390.447
1011.16,386.039
1011.16,387.928
1032.36,389.817
1011.16,388.558
1009.4,373.445
1011.16,387.298
1012.93,385.409
1017.35,387.928
1012.93,390.447
1010.28,391.706
1013.81,387.928
1010.28,391.077
1010.28,386.669
1010.28,385.409
1010.28,387.928
1012.05,387.298
1010.28,372.816
1012.05,390.447
1011.16,386.039
1011.16,386.039
1014.7,388.558
1014.7,393.595
1010.28,370.927
1014.7,389.188
1011.16,390.447
1011.16,391.706
1011.16,389.188
1011.16,387.298
1011.16,367.778
1012.93,387.298
1009.4,387.928
1010.28,391.706
1010.28,387.298
999.683,312.995
994.383,295.364
987.317,301.661
982.018,297.253
973.186,290.327
973.186,285.289
966.12,280.252
959.937,255.694
954.638,267.658
951.105,263.25
944.039,255.064
940.506,257.583
935.207,255.064
926.375,225.469
922.842,241.211
914.893,226.728
914.009,227.987
906.944,212.245
900.761,213.505
893.695,177.612
888.396,192.725
881.33,165.019
876.031,134.794
870.731,151.166
860.133,151.166
862.782,121.57
855.717,135.423
849.534,134.164
845.118,142.98
841.585,129.127
836.285,127.867
827.453,106.458
