Tension,Corriente
1288.5,472.936
1287.61,471.676
1287.61,471.047
1275.25,443.341
1278.78,467.269
1281.43,466.009
1284.97,468.528
1287.61,472.936
1284.08,472.936
1285.85,462.231
1284.08,469.158
1285.85,463.491
1287.61,460.972
1286.73,464.75
1284.97,470.417
1287.61,461.602
1286.73,467.269
1287.61,465.38
1288.5,469.787
1290.26,469.158
1287.61,466.639
1281.43,455.934
1281.43,455.934
1286.73,462.231
1287.61,467.898
1292.03,462.861
1288.5,470.417
1285.85,455.934
1289.38,470.417
1287.61,466.639
1289.38,466.009
1285.85,460.342
1287.61,466.009
1287.61,463.491
1287.61,464.12
1286.73,460.972
1286.73,462.861
1286.73,464.12
1286.73,460.342
1288.5,455.305
1287.61,465.38
1288.5,457.824
1288.5,463.491
1290.26,457.824
1275.25,423.191
1264.65,409.338
1254.05,386.669
1247.87,398.003
1239.04,388.558
1229.32,360.222
1220.49,373.445
1212.54,375.964
1201.94,353.925
1190.46,355.814
1184.28,357.073
1173.68,338.813
1166.61,341.331
1156.01,336.923
1152.48,332.516
1140.12,336.294
1133.05,343.22
1119.8,321.181
1112.74,331.256
1104.79,324.33
1093.3,311.106
1086.24,316.773
1079.17,323.7
1065.04,323.07
1054.44,290.327
1046.49,314.255
1039.43,301.031
1028.83,280.881
1018.23,306.698
1008.51,278.992
1000.57,277.103
991.733,298.513
982.901,288.438
970.536,265.769
968.77,288.438
956.404,267.658
943.156,250.656
942.273,269.547
929.024,249.397
917.542,208.467
910.476,226.728
900.761,217.283
890.162,190.836
881.33,183.28
874.264,174.464
863.665,146.128
853.067,140.461
846.001,148.017
838.052,137.313
830.986,146.758
820.387,182.65
802.723,139.202
793.891,161.87
786.825,170.686
773.576,176.983
765.627,192.095
758.562,203.43
745.313,196.503
739.13,213.505
728.532,208.467
717.05,210.986
706.451,225.469
699.385,234.914
688.786,218.542
679.954,225.469
669.355,234.914
662.29,222.32
651.691,226.098
643.742,231.766
630.494,192.095
620.778,202.8
611.946,226.728
601.347,205.948
596.048,222.32
588.982,225.469
576.616,209.097
566.901,188.317
561.602,281.511
549.237,206.578
538.638,170.056
534.222,214.134
523.623,204.689
538.638,189.577
506.842,207.208
497.126,196.503
481.228,161.87
475.929,194.614
463.563,179.502
452.965,161.87
449.432,188.947
435.3,170.056
422.052,146.128
416.752,163.759
410.57,168.167
399.088,145.498
390.256,140.461
380.54,151.795
368.175,131.016
360.226,135.423
352.277,134.164
342.561,113.384
333.729,114.014
324.897,119.052
316.948,101.42
308.115,100.161
301.933,100.791
286.918,59.2313
282.502,69.9359
273.669,61.1203
263.071,33.4141
256.005,23.9688
248.939,4.44842
239.224,-36.4813
230.391,-47.8156
223.325,-49.075
211.844,-62.9281
202.128,-47.8156
192.412,-37.111
183.58,-39
173.865,-20.7391
166.799,-13.1828
152.667,-20.7391
144.718,-11.9235
137.652,-1.21875
127.054,-18.2204
115.572,-32.0734
110.272,6.33754
98.7905,-10.0344
88.1917,-26.4063
82.8923,4.44842
72.2937,-5.6266
60.8116,-29.5547
56.3955,10.1156
43.1471,-8.14533
33.4315,-24.5172
24.5993,-3.10777
19.3,-25.1468
1.63545,-33.3328
-4.5472,-1.21875
-16.9124,-14.4422
-23.095,-28.925
-28.3944,-13.1828
-37.2267,-10.0344
-47.8253,-27.6657
-54.8912,-20.1094
-64.6066,-11.9235
-79.6215,-44.6672
-88.4538,-35.8516
-97.2861,-24.5172
-107.885,-37.7406
-114.951,-18.2204
-124.666,-31.4437
-133.498,-39
-142.331,-34.5921
-151.163,-32.0734
-159.995,-47.1859
-170.594,-35.8516
-174.127,-25.1468
-184.726,-42.7781
-195.324,-36.4813
-201.507,-28.925
-212.989,-49.7047
-220.055,-42.1484
-228.887,-32.0734
-240.369,-51.5938
-249.201,-28.2953
-256.267,-23.2578
-266.866,-45.9266
-275.698,-32.7031
-284.53,-25.1468
-296.012,-44.0375
-303.078,-40.2594
-311.027,-26.4063
-322.509,-48.4453
-328.692,-45.2969
-338.407,-44.6672
-348.123,-49.7047
-357.838,-64.1875
-364.904,-39.6297
-375.503,-52.8532
-385.218,-72.3734
-391.401,-35.2219
-402.883,-55.3719
-414.365,-73.6328
-420.547,-44.6672
-434.679,-71.1141
-443.511,-81.8187
-448.811,-49.075
-459.409,-62.9281
-470.891,-86.8563
-476.191,-55.3719
-486.789,-73.0031
-497.388,-95.0422
-507.987,-88.1156
-515.936,-80.5594
-529.184,-97.5609
-535.367,-90.0047
-545.083,-87.486
-553.915,-120.859
-564.513,-101.339
-572.462,-96.3016
-583.061,-111.414
-591.01,-126.527
-601.609,-112.044
-611.325,-121.489
-619.274,-137.231
-633.405,-126.527
-644.887,-150.455
-655.486,-142.898
-653.719,-77.411
-675.8,-166.197
-687.282,-165.567
-694.348,-152.344
-702.297,-150.455
-695.231,-65.4469
-689.932,-7.51563
-681.1,57.3421
-674.034,85.6781
-666.085,108.347
-657.252,154.314
-648.42,175.723
-638.705,192.725
-628.989,224.209
-621.923,227.987
-610.441,239.322
-606.908,239.322
-598.076,253.805
-590.127,268.917
-575.995,297.253
-565.397,269.547
-557.448,289.697
-544.199,296.623
-538.017,314.255
-528.301,321.811
-514.17,352.666
-507.987,336.923
-466.475,457.824
-486.789,358.963
-478.84,350.777
-470.891,353.295
-457.643,377.853
-444.394,368.408
-442.628,333.775
-428.496,384.78
-417.898,408.078
-412.598,373.445
-400.233,394.855
-389.634,421.301
-386.102,377.223
-374.62,400.522
-362.254,426.339
-355.189,361.481
-346.356,416.894
-335.758,434.525
-333.991,384.15
-322.509,411.856
-309.261,437.044
-302.195,423.191
-289.83,399.892
-278.348,454.045
-273.048,432.006
-265.099,431.377
-251.851,452.156
-238.602,600.133
-239.486,411.227
-222.704,464.12
-214.755,449.637
-210.339,440.192
-176.777,449.637
-192.675,460.972
-182.959,462.231
-171.477,484.9
-161.762,466.009
-152.929,469.158
-140.564,483.641
-133.498,468.528
-126.433,465.38
-117.6,489.308
-108.768,477.344
-100.819,469.158
-90.2203,491.827
-82.2712,479.863
-72.5558,448.378
-60.1905,506.939
-54.8912,455.934
-46.9421,481.752
-34.5769,565.5
-29.2775,458.453
-18.6789,488.048
-8.96333,508.828
2.51857,533.386
7.81796,491.197
18.4167,505.05
30.7819,537.794
36.0813,497.494
56.3955,506.939
54.6291,537.164
58.162,496.864
70.5271,485.53
82.009,540.313
88.1917,474.825
97.024,524.57
110.272,554.795
112.922,508.199
125.287,528.348
135.886,553.536
141.185,486.159
156.2,535.905
168.565,560.463
175.631,543.461
179.164,507.569
194.179,556.055
203.011,544.091
210.077,541.572
219.793,530.867
225.975,547.869
235.691,542.831
247.173,567.389
254.238,557.314
263.071,557.944
278.086,551.017
280.735,569.908
293.101,570.537
301.933,601.392
311.648,608.319
318.714,612.097
331.079,649.248
336.379,647.989
346.977,653.656
360.226,684.511
369.941,679.473
375.241,661.213
386.723,685.77
392.905,630.358
404.387,643.581
411.453,659.953
420.285,658.694
427.351,619.653
438.833,632.247
444.132,610.208
452.965,601.392
467.096,606.43
478.578,624.061
482.994,556.055
495.36,597.614
534.222,624.061
511.258,571.797
520.973,586.28
533.338,603.911
537.754,559.203
549.237,581.242
559.835,596.355
563.368,556.055
575.733,574.316
586.332,590.688
591.631,555.425
603.997,573.686
613.712,589.428
624.311,575.575
630.494,569.908
640.209,583.761
648.158,572.426
656.107,571.167
669.355,615.245
674.655,566.13
684.37,564.87
693.203,582.502
703.801,564.241
712.634,569.908
724.999,585.02
733.831,569.908
740.014,568.648
751.495,582.502
761.211,572.426
768.277,574.316
780.642,595.725
785.058,578.094
794.774,574.945
808.022,596.355
815.088,583.131
823.92,580.613
833.636,603.281
841.585,593.836
849.534,589.428
861.016,617.764
867.198,598.244
881.33,620.283
893.695,653.027
901.644,646.1
910.476,642.952
920.192,673.176
931.674,678.214
937.857,676.955
950.222,708.439
959.937,732.367
982.901,735.516
978.485,731.738
990.85,756.925
994.383,712.847
1004.1,724.181
1020,746.85
1024.41,707.809
1034.13,719.144
1043.84,733.627
1048.26,695.845
1061.51,714.106
1070.34,737.405
1073.87,693.956
1087.12,713.477
1097.72,722.922
1107.44,714.106
1114.5,717.884
1125.1,741.183
1132.17,730.478
1141,718.514
1152.48,746.85
1161.31,733.627
1171.03,741.813
1182.51,766.37
1186.93,752.517
1196.64,757.555
1207.24,788.409
1240.8,818.634
1223.14,778.334
1235.5,809.189
1239.92,804.152
1250.52,809.189
1255.82,797.855
1246.99,727.33
1234.62,671.917
1225.79,613.986
1216.96,583.761
1207.24,556.055
1195.76,517.644
1187.81,505.05
1180.74,489.938
1168.38,462.231
1157.78,447.119
1152.48,453.416
1137.47,409.338
1131.28,416.894
1120.68,398.633
1111.85,388.558
1103.9,382.891
1089.77,367.778
1076.52,351.406
1070.34,365.259
1059.74,354.555
1050.91,335.664
1041.19,340.072
1035.01,352.036
1021.76,326.219
1010.28,309.217
1004.98,333.775
994.383,312.366
982.901,295.994
977.602,324.959
968.77,302.291
955.521,278.362
944.922,295.364
938.74,284.659
928.141,260.102
921.075,280.881
910.476,260.102
899.878,233.025
894.578,245.619
882.213,220.431
873.381,188.947
867.198,185.798
857.483,175.094
846.884,148.647
838.935,147.388
841.585,175.094
818.621,130.386
810.672,148.647
802.723,159.981
791.241,160.611
782.408,182.65
774.46,197.133
761.211,191.466
755.912,217.283
747.079,229.247
735.597,223.58
725.882,234.914
717.933,242.47
707.334,240.581
