Tension,Corriente
1.70591,634.61
1.71272,636.62
1.7165,628.579
1.72407,632.599
1.73164,636.117
1.73542,628.076
1.74375,632.097
1.74905,625.061
1.75586,629.082
1.76191,633.102
1.76873,624.056
1.77554,629.584
1.78311,633.102
1.78765,621.544
1.79446,631.594
1.80051,632.097
1.80581,625.564
1.81035,632.599
1.81792,625.564
1.82473,629.584
1.83079,636.117
1.83533,628.579
1.84365,630.589
1.84895,631.594
1.85576,637.122
1.86182,642.65
1.86636,641.143
1.87317,647.173
1.87922,653.203
1.89587,688.381
1.89133,662.249
1.89587,657.224
1.90344,669.285
1.93296,705.468
1.91479,677.828
1.92085,686.371
1.92615,686.371
1.95642,744.666
1.94053,713.006
1.9481,729.087
1.95264,729.087
1.95793,732.605
1.96475,743.66
1.97307,761.249
1.97837,774.818
1.98442,781.351
1.99124,798.94
1.99653,802.96
2.00259,820.549
2.01016,838.138
2.01243,848.189
2.02151,862.762
2.02908,880.351
2.03362,890.402
2.04119,910.001
2.04421,915.026
2.05027,929.097
2.05708,929.097
2.06465,929.097
2.06919,929.097
2.07449,929.097
2.0813,929.097
2.08811,929.097
2.09795,929.097
2.09038,929.097
2.08433,929.097
2.07827,929.097
2.07222,901.96
2.06389,856.229
2.06011,834.118
2.05405,808.991
2.04573,768.285
2.04043,732.102
2.03362,696.422
2.02908,669.787
2.02075,634.61
2.01545,611.995
2.01016,577.32
2.00259,541.137
1.99956,520.031
1.99124,487.868
1.98745,465.254
1.9814,431.584
1.97458,395.904
1.97004,377.31
1.96096,341.629
1.95339,309.969
1.95037,289.365
1.94128,258.71
1.93523,236.599
1.92917,206.949
1.92236,175.289
1.91934,155.187
1.91025,121.015
1.90723,106.944
1.8989,75.7862
1.89209,47.644
1.88679,29.05
1.87998,-1.10236
1.87393,-28.2395
1.86938,-42.8131
1.86182,-75.9807
1.85728,-92.5644
1.85122,-121.712
1.8429,-152.367
1.83911,-169.453
1.83381,-195.585
1.82473,-227.245
1.82019,-241.316
1.81414,-265.438
1.80657,-266.443
1.80127,-309.661
1.79446,-334.286
1.78916,-348.859
1.78083,-375.494
1.77554,-400.621
1.771,-415.697
1.76494,-441.829
1.7604,-451.88
1.75435,-476.002
1.74526,-500.124
1.74072,-511.18
1.73467,-537.312
1.7271,-555.403
1.7218,-565.956
1.71575,-585.555
1.70894,-594.098
1.70137,-616.21
1.69531,-634.302
1.68699,-653.901
1.68245,-662.444
1.67715,-671.992
1.67109,-691.088
1.6658,-703.652
1.65747,-716.718
1.65293,-722.246
1.64688,-732.799
1.64158,-733.804
1.63477,-747.875
1.63022,-758.931
1.62493,-757.424
1.61584,-769.485
1.61282,-762.952
1.60374,-770.49
1.59692,-778.53
1.59163,-771.495
1.58254,-795.114
1.57725,-780.54
1.57271,-769.987
1.56438,-792.099
1.56135,-761.946
1.55151,-773.505
1.54773,-759.434
1.54243,-748.378
1.53713,-743.855
1.53108,-733.302
1.52427,-730.789
1.51746,-727.774
1.51216,-715.713
1.50459,-714.708
1.49854,-711.693
1.49248,-705.662
1.48567,-709.18
1.48113,-696.114
1.47432,-698.124
1.46523,-700.134
1.46296,-689.581
1.4554,-693.601
1.44707,-699.129
1.44253,-689.078
1.43647,-695.109
1.42739,-697.119
1.42209,-690.083
1.41755,-698.124
1.41377,-688.073
1.40696,-694.606
1.39939,-700.134
1.39636,-694.606
1.38955,-703.652
1.38501,-700.637
1.37744,-704.657
1.36987,-716.718
1.36155,-712.698
1.35701,-707.672
1.3502,-728.779
1.34263,-727.774
1.3396,-736.82
1.33354,-741.342
1.32673,-747.875
1.31992,-757.424
1.31235,-773.505
1.31008,-705.16
1.30479,-772.5
1.29646,-785.566
1.28813,-798.632
1.28132,-809.185
1.27678,-812.703
1.26997,-825.769
1.26619,-829.287
1.25862,-846.373
1.25256,-863.459
1.24802,-859.942
1.24045,-882.556
1.23667,-879.038
1.22759,-905.673
1.22305,-922.256
1.24045,-931.302
1.21321,-946.378
1.2064,-963.465
1.20186,-967.987
1.19731,-989.597
1.18899,-997.637
1.18293,-1016.73
1.17385,-1042.36
1.16704,-1050.4
1.16174,-1074.53
1.1572,-1090.61
1.14963,-1120.76
1.14282,-1128.8
1.13525,-1128.8
1.14131,-1116.74
1.14434,-1079.55
1.15342,-1031.31
1.16099,-988.592
1.16401,-962.962
1.17385,-927.282
1.17612,-899.642
1.18899,-867.982
1.19504,-826.774
1.2011,-792.601
1.20413,-768.982
1.20942,-744.86
1.21472,-712.195
1.22078,-680.535
1.22683,-644.352
1.23213,-625.256
1.24045,-591.083
1.245,-570.982
1.25105,-538.317
1.25786,-508.667
1.26165,-490.073
1.26997,-460.926
1.27603,-427.758
1.28208,-408.662
1.28889,-381.524
1.29041,-370.469
1.29797,-332.276
1.3063,-303.128
1.31311,-284.032
1.31916,-252.874
1.32446,-240.311
1.32976,-209.154
1.33657,-182.519
1.34111,-164.93
1.34944,-135.783
1.35625,-110.656
1.3623,-91.0568
1.36836,-67.4375
1.37214,-51.3563
1.37971,-26.7319
1.38728,8.94842
1.39106,18.4966
1.39788,46.1363
1.40771,67.7455
1.41226,90.3598
1.41604,106.441
1.42588,139.609
1.42966,151.669
1.43572,176.796
1.44177,183.33
1.44858,213.482
1.45388,236.599
1.45994,250.67
1.46448,273.786
1.47205,285.847
1.47734,309.969
1.48416,325.045
1.49021,341.629
1.49702,363.239
1.50383,382.837
1.50989,393.893
1.51594,417.513
1.52048,423.041
1.52654,441.635
1.53335,463.746
1.53865,466.762
1.54546,485.858
1.55757,489.376
1.55757,509.477
1.56514,525.056
1.57271,543.65
1.57649,542.645
1.58179,545.158
1.58936,558.224
1.59541,572.295
1.60298,585.361
1.60525,585.361
1.61584,595.914
1.61963,595.914
1.62644,602.447
1.6325,610.99
1.63779,609.985
1.64688,608.98
1.65142,624.056
1.65747,619.533
1.66353,625.061
1.66731,620.036
1.67412,623.554
1.68169,627.072
1.68547,619.031
1.6938,628.579
1.6991,620.538
1.70515,625.564
1.71045,628.579
1.71575,618.528
1.72256,624.559
1.73088,623.554
1.73542,614.508
1.74224,621.544
