Tension,Corriente
352.277,362.111
366.408,559.833
512.141,552.906
561.602,546.609
593.398,545.35
618.128,536.534
645.508,536.534
672.888,532.127
703.801,529.608
716.166,528.978
721.466,527.719
732.948,523.311
764.744,521.422
782.408,517.014
792.124,518.273
791.241,516.384
807.139,515.125
829.22,508.828
830.986,512.606
835.402,509.458
838.935,510.088
846.884,511.977
857.483,512.606
856.6,510.717
862.782,507.569
878.68,505.68
886.63,507.569
889.279,504.42
892.812,505.05
897.228,514.495
911.36,501.272
914.893,504.42
907.827,505.68
902.528,504.42
903.411,506.939
920.192,500.642
933.441,496.234
937.857,500.642
933.441,494.975
942.273,498.753
942.273,498.753
970.536,515.125
954.638,494.345
952.872,500.012
952.872,499.383
960.82,498.123
964.353,493.086
972.302,491.197
982.018,491.827
989.084,488.678
977.602,508.828
976.718,498.123
987.317,489.938
1007.63,493.716
1004.1,488.678
999.683,493.086
997.033,487.419
1006.75,488.678
1005.87,490.567
1037.66,494.345
1016.46,486.789
1012.05,491.827
1017.35,486.789
1031.48,488.678
1043.84,486.159
1050.91,488.678
1033.25,486.159
1043.84,491.827
1043.84,489.938
1047.38,490.567
1046.49,484.27
1042.96,484.27
1057.09,481.752
1053.56,485.53
1058.86,484.27
1053.56,482.381
1071.22,480.492
1050.91,484.27
1067.69,487.419
1053.56,484.9
1048.26,457.194
1059.74,425.709
1042.08,426.339
1037.66,408.708
1017.35,400.522
1017.35,382.891
1031.48,379.742
1024.41,369.667
1015.58,360.852
995.266,318.033
997.916,346.998
994.383,336.294
986.434,329.367
981.135,302.291
975.835,314.884
975.835,312.995
968.77,305.439
965.237,289.067
968.77,298.513
968.77,292.845
957.288,298.513
918.426,262.62
935.207,292.845
935.207,301.661
938.74,285.289
930.791,260.102
911.36,280.881
906.06,272.066
902.528,270.806
1854.65,220.431
901.644,268.287
884.863,264.509
880.447,289.067
850.417,244.989
862.782,254.434
846.884,257.583
841.585,252.545
836.285,250.027
830.103,251.286
827.453,244.359
824.804,248.138
854.833,266.398
826.57,251.916
815.971,257.583
815.971,248.138
796.54,255.064
793.007,248.767
800.956,246.248
788.591,248.138
773.576,241.841
770.043,248.767
778.876,235.544
786.825,236.173
778.876,231.136
768.277,232.395
749.729,229.877
750.612,236.173
745.313,233.655
747.963,231.136
719.699,234.914
707.334,221.691
717.05,222.95
709.101,227.987
719.699,229.877
704.684,228.617
703.801,226.728
689.67,229.247
664.939,223.58
658.757,234.914
656.107,212.875
669.355,219.172
644.625,219.172
632.26,220.431
630.494,219.172
639.326,210.356
643.742,217.912
633.143,211.616
627.844,236.803
615.479,204.059
609.296,211.616
600.464,209.727
595.164,209.727
591.631,204.059
586.332,202.8
573.967,205.319
575.733,207.838
580.149,235.544
590.748,200.911
589.865,204.059
564.251,215.394
545.704,214.764
543.937,207.838
533.338,208.467
540.404,202.8
527.156,202.8
