Tension,Corriente
-2.28044,-23.1213
15.3841,-21.2322
-176.276,-133.946
-163.911,-111.907
-127.699,-98.6838
-148.896,-98.6838
-140.064,-85.4604
-132.998,-84.201
-111.801,-84.8307
-121.516,-75.3854
-137.414,-70.9776
-126.816,-70.3479
-106.501,-72.8666
-102.968,-64.051
-111.801,-64.051
-110.034,-11.7869
-92.3697,-57.1244
-75.5883,-50.8276
-94.1361,-53.976
-65.8729,-52.7166
-67.6392,-49.5681
-88.8367,-50.8276
-78.238,-47.0494
-58.807,-45.1604
-72.0554,-40.1228
-63.2231,-38.8635
-66.756,-36.3448
-19.945,-35.0854
-27.894,-19.3432
-49.0914,-31.3072
-24.3611,-21.2322
-19.0617,-19.9729
-6.69657,-18.7135
-20.8282,8.36304
-8.46308,-10.5276
6.55184,-4.86041
14.5009,-0.452563
7.43509,-0.452563
8.31835,8.99275
16.2674,17.1786
31.2822,17.1786
29.5158,31.0318
18.917,29.1428
50.7132,39.8474
42.7642,37.9584
40.1144,44.2553
42.7642,51.1819
63.9616,56.849
66.6113,59.9975
56.0126,66.924
71.9106,72.5912
78.0933,100.927
86.9256,102.816
45.4138,84.5552
80.7429,95.8896
109.89,90.8521
101.94,102.186
102.824,101.557
119.605,94.6303
110.773,107.224
123.138,105.335
125.788,110.372
119.605,109.743
144.335,116.04
144.335,114.78
131.97,125.485
154.051,117.299
164.65,124.855
156.701,116.669
152.284,147.524
176.132,124.226
184.964,124.855
175.248,125.485
179.664,119.818
194.679,129.263
208.811,126.744
198.212,123.596
192.913,127.374
219.41,135.56
215.877,128.633
208.811,131.152
219.41,130.522
234.424,131.782
239.724,134.301
230.008,131.782
241.49,138.708
255.622,135.56
258.272,160.118
262.688,137.449
264.454,140.597
268.87,139.338
289.185,143.116
274.17,141.857
288.301,148.783
298.9,145.005
303.316,150.672
301.55,149.413
295.367,149.413
310.382,153.821
314.798,151.302
305.083,156.34
314.798,156.34
327.163,158.858
328.93,160.747
330.696,172.712
338.645,177.749
361.609,175.23
352.777,172.082
353.66,175.23
368.675,176.49
366.026,180.268
371.325,187.824
372.208,185.305
391.639,193.491
388.106,196.64
382.807,201.677
391.639,211.752
410.187,212.382
409.304,211.122
411.953,219.938
418.136,216.16
418.136,222.457
434.034,231.272
428.735,232.532
437.567,237.569
451.698,239.458
464.947,248.274
453.465,242.607
447.282,260.238
469.363,257.719
466.713,267.165
464.064,263.386
473.779,274.721
478.195,272.202
492.327,286.055
494.093,278.499
492.327,277.869
509.992,287.315
509.992,309.983
517.941,289.204
495.86,291.093
523.24,303.057
516.174,284.796
519.707,300.538
528.539,296.76
541.788,296.76
530.306,296.76
540.904,293.612
546.204,302.427
555.919,292.352
566.518,301.797
551.503,294.871
572.701,306.205
580.65,298.019
585.066,303.686
584.183,294.871
581.533,292.352
606.263,294.871
606.263,296.76
603.614,292.982
621.278,288.574
610.679,293.612
633.643,315.021
615.979,285.426
630.11,284.796
636.293,286.685
638.06,281.647
653.958,284.796
667.206,281.018
642.476,283.537
673.389,301.168
659.257,272.202
661.907,271.572
666.323,270.313
668.089,266.535
686.637,294.871
678.688,269.054
679.571,264.016
704.302,264.016
696.352,262.127
706.068,266.535
708.718,257.09
708.718,260.868
728.149,259.608
739.631,256.46
729.032,252.052
737.864,251.422
729.915,257.09
744.93,295.501
743.164,256.46
752.879,248.274
767.894,252.052
757.295,241.977
757.295,251.422
768.777,246.385
774.077,247.015
774.96,243.237
788.208,240.088
802.34,237.569
810.289,270.943
802.34,241.977
812.939,254.571
813.822,237.569
822.654,232.532
816.472,245.126
804.106,233.791
835.019,254.571
836.786,235.68
848.268,238.829
851.801,228.124
847.385,223.087
860.633,235.051
856.217,255.83
864.166,231.902
866.816,241.977
874.764,233.791
892.429,230.013
886.246,239.458
901.261,230.643
901.261,236.31
897.729,230.643
903.028,228.124
916.276,228.124
911.86,233.791
909.21,234.421
940.123,244.496
943.656,229.383
926.875,228.124
938.357,222.457
958.671,225.605
952.488,233.791
927.758,226.865
962.204,230.643
964.854,229.383
978.102,234.421
973.686,236.94
990.467,259.608
993.117,231.272
994.884,243.866
993.117,225.605
993.117,228.754
1007.25,231.272
1008.13,230.013
994,232.532
1018.73,231.902
1024.91,233.791
1039.93,226.235
1037.28,223.716
1023.15,214.901
1034.63,181.527
1029.33,199.788
1002.83,180.897
1001.07,190.343
1005.48,205.455
986.934,181.527
975.453,181.527
979.869,169.563
983.401,171.452
963.971,170.193
955.138,174.601
970.153,168.933
978.102,163.266
958.671,147.524
934.824,162.007
951.605,160.118
957.788,160.118
934.824,162.007
930.408,153.191
933.058,151.302
919.809,152.561
925.992,155.71
895.079,176.49
908.327,148.154
896.845,124.226
866.816,148.154
856.217,131.152
887.13,146.894
888.896,145.635
872.998,144.376
857.1,138.708
886.246,144.376
867.699,140.597
853.567,136.819
845.618,139.338
865.049,138.708
844.735,132.412
821.771,114.78
819.121,134.93
835.903,125.485
812.055,136.19
807.639,134.301
788.208,133.041
807.639,132.412
823.537,121.077
789.091,131.782
787.325,126.744
795.274,127.374
773.193,94.6303
781.142,126.744
765.244,117.929
774.077,140.597
761.711,117.299
752.879,122.966
759.062,126.115
762.595,109.113
738.748,122.966
735.215,119.818
721.966,119.818
746.696,117.299
723.733,118.558
707.835,97.7787
718.433,112.891
714.9,104.705
699.885,117.929
686.637,111.002
693.703,113.521
691.936,115.41
667.206,111.632
667.206,141.857
683.104,111.002
678.688,114.151
660.14,108.483
652.191,106.594
653.958,90.2224
654.841,109.113
631.877,92.7411
630.11,106.594
641.593,103.446
629.227,107.224
630.994,107.854
610.679,103.446
635.41,105.965
626.578,101.557
603.614,102.186
614.212,102.816
594.781,103.446
598.314,95.26
577.117,99.6677
577.117,94.0006
591.249,98.4084
578,95.8896
561.219,99.038
569.168,97.149
567.401,95.26
556.803,94.6303
538.255,92.1115
547.97,97.7787
549.737,98.4084
560.336,92.7411
532.072,83.9255
517.941,90.2224
544.437,81.4068
519.707,89.5927
487.911,90.8521
504.692,90.2224
507.342,89.5927
492.327,83.2958
484.378,87.074
472.896,79.5178
494.977,84.5552
480.845,71.3318
456.998,83.2958
478.195,74.4802
468.48,80.7771
451.698,73.8505
440.217,90.2224
456.115,81.4068
446.399,76.3694
432.268,76.999
429.618,66.924
438.45,75.7396
417.253,73.8505
422.552,72.5912
414.603,59.3677
414.603,73.2209
403.121,61.2568
390.756,59.9975
390.756,62.5162
396.055,65.6646
382.807,66.2943
380.157,57.4787
368.675,61.8865
380.157,58.738
368.675,76.3694
343.945,56.2193
350.127,58.1083
346.594,45.5146
338.645,49.2927
331.58,46.1443
328.047,49.9224
350.127,47.4037
316.565,46.774
315.681,48.0334
321.864,42.9959
320.981,38.5881
309.499,39.2177
290.951,42.3661
301.55,37.3287
297.134,37.9584
288.301,28.5131
268.87,36.699
288.301,45.5146
280.352,35.4397
276.819,34.81
261.805,28.5131
254.739,25.9944
263.571,25.9944
245.907,29.7724
245.023,22.2162
237.074,25.9944
249.439,20.3271
236.191,22.2162
228.242,8.36304
223.826,19.6975
208.811,11.5115
198.212,18.4381
190.263,15.9193
188.497,15.2896
199.095,16.549
191.146,23.4755
177.898,-19.3432
174.365,12.1412
184.964,11.5115
169.949,1.43646
167.299,7.73334
121.371,2.69587
148.752,3.95529
149.635,-6.11973
132.853,2.06617
143.452,3.95529
139.036,-9.89788
143.452,-2.34159
137.269,-8.63846
120.488,-28.1588
115.189,-15.565
95.7578,-16.8245
101.94,-27.5291
97.5242,-13.676
107.24,-35.0854
93.9913,-34.4557
62.1951,-47.0494
96.6411,-52.087
79.8597,-48.9385
63.0784,-63.4213
58.6622,-76.6448
48.0636,-80.4229
48.9467,-106.24
46.2971,-96.7947
40.1144,-110.018
40.9977,-123.871
33.9319,-124.501
33.0487,-144.651
35.6983,-150.318
18.917,-164.171
18.0337,-166.06
23.3331,-159.763
11.8512,-187.47
-5.81332,-218.954
-25.2444,-204.471
3.90221,-214.546
-26.1276,-223.992
-13.7623,-222.732
-23.4779,-237.845
-34.0767,-239.104
-60.5735,-244.771
-40.2592,-243.512
-42.0257,-259.884
-46.4418,-249.809
-53.5076,-246.031
-61.4567,-254.217
-81.7709,-269.959
-61.4567,-255.476
-64.9896,-250.439
-87.9536,-243.512
-82.6542,-250.439
-85.3038,-255.476
-93.2528,-255.476
-87.9536,-258.624
-101.202,-246.66
-89.7199,-239.734
-107.384,-247.92
-127.699,-276.256
-102.085,-242.882
-106.501,-248.549
-134.765,-243.512
-136.531,-234.067
-145.363,-235.326
-140.064,-231.548
-166.561,-233.437
-166.561,-227.14
-157.729,-228.399
-162.145,-206.99
-161.261,-217.695
-161.261,-204.471
-140.947,-181.173
-145.363,-195.656
-151.546,-178.024
-134.765,-178.654
-132.115,-176.135
-115.334,-164.801
-129.465,-159.763
-128.582,-156.615
-100.319,-157.245
-104.735,-149.059
-110.917,-144.651
-110.034,-144.021
-92.3697,-138.984
-83.5374,-126.39
-90.6032,-124.501
-76.4715,-99.3135
-57.0406,-121.353
-68.5225,-118.204
-70.289,-108.759
-53.5076,-116.315
-42.9089,-102.462
-44.6753,-100.573
-64.9896,-95.5354
-42.0257,-93.0167
-22.5946,-58.3839
-27.894,-79.1635
-23.4779,-71.6072
-17.2954,-64.051
-9.3462,-64.051
-8.46308,-52.087
-11.996,-50.8276
3.01896,-36.3448
16.2674,-33.826
3.01896,5.21461
10.0847,-15.565
21.5668,0.806852
21.5668,3.95529
33.0487,24.1052
26.866,23.4755
45.4138,41.1068
39.2313,41.7365
42.7642,44.2553
37.4648,61.2568
56.8959,64.4052
66.6113,82.0365
54.2461,82.6662
77.21,100.927
87.8088,97.7787
85.1591,97.149
79.8597,113.521
86.9256,128.633
105.473,133.671
110.773,138.079
107.24,134.93
115.189,134.93
120.488,134.93
129.32,141.857
133.737,148.154
124.021,146.265
157.584,150.043
142.569,147.524
138.153,170.822
153.168,157.599
165.533,160.747
170.832,151.932
166.416,158.858
163.766,145.635
187.613,150.672
187.613,155.08
173.482,149.413
191.146,152.561
195.563,150.043
198.212,152.561
203.512,144.376
210.577,165.155
221.176,148.154
219.41,155.08
213.227,146.265
234.424,156.34
250.323,150.043
244.14,168.933
237.074,150.672
234.424,148.154
258.272,150.043
260.921,144.376
250.323,153.191
285.652,150.672
297.134,160.118
279.469,149.413
277.703,160.118
256.505,154.451
304.2,155.08
295.367,155.08
295.367,152.561
310.382,156.969
328.93,153.821
314.798,160.118
324.514,158.229
330.696,181.527
339.529,161.377
333.346,174.601
330.696,165.785
358.076,170.822
356.31,170.193
335.113,168.304
360.726,171.452
383.69,172.712
376.624,179.638
373.975,177.119
390.756,188.454
397.822,183.416
390.756,185.935
387.223,179.638
399.588,189.083
409.304,189.713
426.085,197.899
413.72,190.343
420.786,187.824
434.034,196.64
429.618,190.972
427.851,194.121
428.735,194.121
448.166,201.047
440.217,196.64
439.333,203.566
464.064,200.418
471.13,207.344
467.597,225.605
472.013,204.196
475.546,196.01
500.276,196.64
491.444,194.751
479.079,195.38
506.459,201.047
511.758,214.901
502.926,197.899
522.357,197.269
518.824,201.677
532.955,199.788
526.773,202.307
518.824,192.862
534.722,202.307
549.737,187.824
