Tension,Corriente
1112.74,235.544
1112.74,234.914
1096.84,229.247
1086.24,224.839
1072.99,221.061
1062.39,214.134
1051.79,210.356
1036.78,204.689
1027.95,199.022
1014.7,195.873
1004.1,190.206
1004.98,197.763
982.901,180.131
970.536,175.094
959.937,170.056
949.339,166.908
938.74,161.87
929.907,155.573
915.776,151.166
901.644,146.128
880.447,141.72
877.797,136.683
871.615,131.016
858.366,127.867
847.767,122.83
835.402,117.792
825.687,112.755
812.438,112.125
801.839,103.939
790.358,98.9015
778.876,95.1234
765.627,90.0859
755.912,85.6781
743.547,80.0109
734.714,76.8625
722.349,71.1953
710.867,67.4172
701.152,59.861
710.867,60.4906
675.538,52.9344
664.939,47.2672
654.34,42.2297
642.859,38.4515
632.26,33.4141
623.427,29.0062
611.946,22.0797
599.581,19.5609
589.865,15.1531
581.033,12.6344
569.551,7.59686
556.302,2.55939
542.171,-1.21875
536.871,-6.88592
521.856,-10.6641
512.141,-16.3312
504.192,-20.7391
505.958,-24.5172
477.695,-27.6657
470.629,-32.0734
458.264,-37.111
447.665,-40.2594
432.65,-50.3343
426.468,-52.2235
414.986,-56.6312
401.737,-61.0391
392.022,-66.0765
379.657,-70.4844
369.058,-74.8922
356.693,-79.9297
347.861,-84.9671
333.729,-86.8563
322.247,-93.1531
308.115,-98.1906
297.517,-103.228
288.684,-106.377
276.319,-112.044
265.72,-115.822
252.472,-122.748
243.64,-125.267
231.275,-130.934
219.793,-134.083
212.727,-136.602
203.895,-143.528
204.778,-138.491
175.631,-153.603
165.033,-159.9
153.551,-164.308
141.185,-166.827
134.12,-170.605
119.988,-175.642
109.389,-179.42
96.1407,-183.198
88.1917,-187.606
77.5929,-192.644
61.6949,-198.311
51.9793,-201.459
43.1471,-207.756
30.7819,-210.905
19.3,-215.942
8.70122,-219.091
-1.89757,-225.388
-17.7956,-227.277
-23.9783,-232.944
-36.3434,-238.611
-49.5918,-242.389
-63.7235,-249.316
-71.6725,-249.316
-82.2712,-256.242
-92.87,-258.131
-108.768,-262.539
-113.184,-260.65
-127.316,-273.873
-136.148,-276.392
-148.513,-282.689
-159.112,-287.097
-169.711,-290.875
-180.309,-296.542
-200.624,-300.95
-205.04,-304.098
-216.522,-307.877
-228.004,-313.544
-241.252,-316.692
-249.201,-322.989
-262.45,-325.508
-269.515,-330.545
-283.647,-336.842
-298.662,-342.509
-309.261,-345.658
-318.093,-348.177
-329.575,-353.844
-339.29,-357.622
-348.123,-360.77
-360.488,-366.438
-371.97,-373.364
-383.452,-374.623
-394.051,-379.661
-404.649,-384.698
-418.781,-391.625
-430.263,-392.884
-440.862,-398.552
-452.344,-402.33
-464.709,-409.256
-476.191,-411.145
-486.789,-414.923
-496.505,-419.331
-507.104,-424.998
-516.819,-426.258
-528.301,-432.555
-542.433,-437.592
-553.032,-442.63
-565.397,-445.148
-575.995,-451.445
-587.477,-455.223
-597.193,-459.002
-608.675,-462.15
-588.361,-464.039
-627.223,-470.966
-639.588,-476.003
-649.303,-479.781
-666.085,-484.819
-675.8,-489.856
-691.698,-494.894
-695.231,-493.634
-707.596,-501.191
-719.078,-506.228
-727.027,-509.377
-740.276,-515.673
-752.641,-518.192
-761.473,-521.341
-774.722,-525.748
-786.204,-531.416
-796.802,-533.305
-808.284,-538.342
-819.766,-542.75
-831.248,-546.528
-841.847,-549.677
-851.562,-552.825
-859.511,-556.603
-872.76,-562.9
-885.125,-566.678
-895.724,-571.086
-905.439,-576.753
-922.221,-579.902
-933.703,-583.68
-941.652,-587.458
-955.783,-589.347
-962.849,-596.273
-977.864,-600.052
-984.93,-601.311
-996.412,-605.089
-1010.54,-610.756
-1022.91,-615.164
-1034.39,-618.942
-1045.87,-620.831
-1060.89,-627.758
-1072.37,-633.425
-1079.44,-633.425
-1094.45,-639.092
-1103.28,-642.241
-1115.65,-647.278
-1135.08,-649.797
-1142.14,-651.686
-1154.51,-656.723
-1163.34,-662.391
-1176.59,-666.169
-1192.49,-669.947
-1202.2,-673.725
-1222.52,-676.873
-1231.35,-681.911
-1243.72,-681.911
-1258.73,-685.689
-1268.45,-688.837
-1280.81,-691.356
-1299.36,-697.653
-1309.96,-701.431
-1319.67,-702.691
-1331.15,-703.95
-1341.75,-705.209
-1355.89,-710.247
-1362.95,-712.766
-1375.32,-715.284
-1389.45,-719.692
-1392.98,-719.692
-1406.23,-722.211
-1412.41,-727.248
-1420.36,-728.508
-1429.19,-732.286
-1441.56,-733.545
-1453.92,-737.323
-1468.06,-739.212
-1476.89,-743.62
-1489.25,-741.731
-1500.73,-746.139
-1513.98,-751.177
-1522.82,-751.806
-1537.83,-755.584
-1546.66,-755.584
-1560.79,-758.103
-1571.39,-760.622
-1581.99,-760.622
-1594.36,-762.511
-1604.96,-763.141
-1614.67,-766.289
-1626.15,-767.548
-1638.52,-768.808
-1650.88,-773.216
-1661.48,-773.845
-1674.73,-776.364
-1685.33,-775.105
-1693.28,-776.364
-1691.51,-775.734
-1690.63,-771.956
-1694.16,-770.067
-1694.16,-766.919
-1678.26,-759.992
-1673.85,-756.214
-1663.25,-749.917
-1646.47,-739.842
-1636.75,-734.175
-1626.15,-727.248
-1617.32,-719.692
-1599.66,-715.914
-1592.59,-709.617
-1581.99,-703.32
-1572.28,-697.023
-1560.79,-691.986
-1548.43,-686.319
-1534.3,-680.652
-1523.7,-674.984
-1509.57,-668.688
-1498.97,-661.131
-1492.79,-657.353
-1478.65,-652.316
-1464.52,-647.908
-1453.92,-642.241
-1439.79,-635.944
-1429.19,-630.906
-1415.06,-625.239
-1413.3,-620.202
-1406.23,-613.275
-1393.86,-609.497
-1393.86,-603.2
-1383.27,-596.903
-1370.02,-591.236
-1359.42,-587.458
-1345.29,-582.42
-1331.15,-577.383
-1320.56,-572.345
-1311.72,-569.197
-1301.13,-563.53
-1286.99,-557.862
-1275.51,-552.825
-1259.61,-546.528
-1243.72,-544.009
-1236.65,-537.712
-1224.28,-534.564
-1210.15,-529.527
-1194.25,-524.489
-1177.47,-519.452
-1135.96,-504.339
-1150.09,-510.636
-1132.43,-505.598
-1127.13,-501.82
-1113.88,-496.783
-1101.52,-491.745
-1092.68,-486.708
-1080.32,-481.67
-1068.84,-477.892
-1056.47,-473.484
-1046.76,-472.225
-1031.74,-464.669
-1020.26,-461.52
-1010.54,-457.112
-999.945,-451.445
-987.579,-447.667
-976.981,-441.37
-959.316,-437.592
-949.601,-435.073
-938.119,-433.184
-930.17,-428.777
-917.804,-424.998
